881A361A	11	13344223434042	5
7A92A01	11	4BB2308A7	12
1A97A49B4	13	13344223434042	5
1201111002	3	223695169	11
9199	11	33CA480	13
30	12	432	10
5102235	7	2147483647	10
3024123	7	12112122212110202101	3
11333	4	116568	9
876385314	9	104134211161	7
11010	3	101000100	3
23	7	245	6
6DD30B4	16	1333333333333333	4
39723	12	11637644043	8
58522720	9	13344223434042	5
0	2	0	10
30401C8	14	2147483647	10
6930B752	13	13344223434042	5
111	2	15	16
70C2	13	32122232233	5
30606	7	1000010000001110010001111	2
ECF	16	19D6C7	14
241212343	5	1333333333333333	4
28009770	13	C87E66B7	15
4F0A	16	35488510	11
639	10	2AA99	12
64D2AC	14	C87E66B7	15
45403	6	6A2783	16
